City,Airport,Code,Country,longitude,latitude
Brussels,Brussels Airport,BRU,Belgium,4.48443984985,50.901401519800004
Brussels,Brussels South Charleroi Airport,CRL,Belgium,4.45382,50.459202
Liège,Liège Airport,LGG,Belgium,5.443220138549805,50.63740158081055
Ostend,Ostend-Bruges International Airport,OST,Belgium,2.8622200489,51.198898315399994
Ajaccio,Campo dell'Oro Airport,AJA,France,8.8029203414917,41.92359924316406
Bastia,Poretta Airport,BIA,France,9.48373031616211,42.55270004272461
Beauvais,Beauvais-Tillé Airport,BVA,France,2.1127800941467285,49.45439910888672
Bergerac,Bergerac-Roumanière Airport,EGC,France,0.5186110138893127,44.82529830932617
Béziers,Béziers Cap d'Agde Airport,BZR,France,3.3538999557495117,43.32350158691406
Biarritz,Biarritz Airport,BIQ,France,-1.5311111,43.4683333
Bordeaux,Mérignac Airport,BOD,France,-0.715556025505,44.828300476100004
Brest,Brest Bretagne Airport,BES,France,-4.418540000915527,48.447898864746094
Carcassonne,Salvaza Airport,CCF,France,2.3063199520111084,43.215999603271484
Châlons-en-Champagne,Châlons Vatry Airport,XCR,France,4.206111111,48.7733333333
Chambéry,Chambéry-Savoie Airport,CMF,France,5.880229949951172,45.638099670410156
Dinard,Pleurtuit Airport,DNR,France,-2.0799601078033447,48.58769989013672
Figari,Figari Sud-Corse Airport,FSC,France,9.097780227661133,41.5005989074707
Grenoble,Grenoble-Isère Airport,GNB,France,5.32937,45.3629
Ile de Re,Île de Ré Airport,LRH,France,-1.1952799558639526,46.17919921875
Lille,Lille Lesquin Airport,LIL,France,3.086886,50.563332
Limoges,Bellegarde Airport,LIG,France,1.1794400215148926,45.86280059814453
Lyon,Saint-Exupéry Airport,LYS,France,5.081111,45.725556
Marseille,Provence Airport,MRS,France,5.22142410278,43.439271922
Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL,France,7.529167,47.59
Nantes,Nantes Atlantique Airport,NTE,France,-1.61073005199,47.153198242200006
Nice,Côte d'Azur Airport,NCE,France,7.215869903560001,43.6584014893
Nîmes,Garons Airport,FNI,France,4.4163498878479,43.75740051269531
Paris,Charles de Gaulle Airport,CDG,France,2.55,49.012798
Paris,Orly Airport,ORY,France,2.3794444,48.7233333
Pau,Uzein Airport,PUF,France,-0.41861099004745483,43.380001068115234
Perpignan,Llabanère Airport,PGF,France,2.8706700801849365,42.74039840698242
Poitiers,Biard Airport,PIS,France,0.30666598677635193,46.58769989013672
Rodez,Marcillac Airport,RDZ,France,2.4826700687408447,44.407901763916016
Saint Etienne,Bouthéon Airport,EBU,France,4.296390056610107,45.54059982299805
Strasbourg,Strasbourg Airport,SXB,France,7.628230094909668,48.538299560546875
Toulon,Hyères Le Palyvestre Airport,TLN,France,6.14602994919,43.0973014832
Toulouse,Blagnac Airport,TLS,France,1.36382,43.629101
Tours,Tours Loire Valley Airport,TUF,France,0.727605998516,47.4322013855
Gibraltar,North Front Airport,GIB,Gibraltar,-5.3496599197400005,36.1511993408
Guernsey,Guernsey Airport,GCI,Guernsey,-2.6019699573516846,49.435001373291016
Jersey,Jersey Airport,JER,Jersey,-2.195509910583496,49.20790100097656
Cork,Cork Airport,ORK,Ireland,-8.491109848022461,51.84130096435547
Dublin,Dublin Airport,DUB,Ireland,-6.27007,53.421299
Kerry,Kerry Airport,KIR,Ireland,-9.52377986907959,52.18090057373047
Knock,Ireland West Airport Knock,NOC,Ireland,-8.818490028381348,53.910301208496094
Shannon,Shannon Airport,SNN,Ireland,-8.92482,52.702
Isle of Man,Isle of Man Airport,IOM,Isle of Man,-4.623889923095703,54.08330154418945
Luxembourg City,Findel Airport,LUX,Luxembourg,6.2044444,49.6233333
Amsterdam,Amsterdam Airport Schiphol,AMS,Netherlands,4.76389,52.308601
Eindhoven,Eindhoven Airport,EIN,Netherlands,5.37452983856,51.4500999451
Groningen,Groningen Airport Eelde,GRQ,Netherlands,6.57944011688,53.1197013855
Maastricht,Maastricht-Aachen Airport,MST,Netherlands,5.77014,50.911701
Rotterdam,Rotterdam The Hague Airport,RTM,Netherlands,4.43722,51.956902
Beja,Beja Airport,BYJ,Portugal,-7.9324,38.078899
Faro,Faro Airport,FAO,Portugal,-7.96590995789,37.0144004822
Funchal,Madeira Airport,FNC,Portugal,-16.7745,32.697899
Porto Santo Island,Porto Santo Airport,PXO,Portugal,-16.3500003815,33.0733985901
Lisbon,Humberto Delgado Airport,LIS,Portugal,-9.13592,38.7813
Porto,Francisco Sá Carneiro Airport,OPO,Portugal,-8.68138980865,41.2481002808
Ponta Delgada,João Paulo II Airport,PDL,Portugal,-25.6979007721,37.7411994934
Terceira Island,Terceira Airport,TER,Portugal,-27.090799,38.761799
A Coruña,Alvedro Airport,LCG,Spain,-8.37726,43.302101
Alicante,Alicante Airport,ALC,Spain,-0.5581560134887695,38.28219985961914
Almeria,Almería International Airport,LEI,Spain,-2.3701000213623047,36.84389877319336
Asturias,Asturias Airport,OVD,Spain,-6.0346198081970215,43.5635986328125
Barcelona,Barcelona Airport,BCN,Spain,2.07846,41.2971
Fuerteventura,Fuerteventura Airport,FUE,Spain,-13.863800048828125,28.452699661254883
Girona,Girona-Costa Brava Airport,GRO,Spain,2.7605500221,41.901000977
Gran Canaria,Gran Canaria Airport,LPA,Spain,-15.38659954071045,27.931900024414062
Granada,Granada Airport,GRX,Spain,-3.777359962463379,37.18870162963867
Huesca,Huesca-Pirineos Airport,HSK,Spain,,
Ibiza,Ibiza Airport,IBZ,Spain,1.3731199502899998,38.872898101800004
Jerez de la Frontera,Jerez Airport,XRY,Spain,-6.060110092163086,36.744598388671875
La Palma,La Palma Airport,SPC,Spain,-17.7556,28.626499
Lanzarote,Lanzarote Airport,ACE,Spain,-13.6052,28.945499
Lleida,Alguaire Airport,ILD,Spain,0.535023,41.728185
Madrid,Madrid-Barajas Airport,MAD,Spain,-3.56264,40.471926
Málaga,Málaga Airport,AGP,Spain,-4.499110221862793,36.67490005493164
Menorca,Menorca Airport,MAH,Spain,4.218649864196777,39.86259841918945
Murcia,Murcia-San Javier Airport,MJV,Spain,-0.8123890161514282,37.775001525878906
Palma de Mallorca,Palma de Mallorca Airport,PMI,Spain,2.73881006241,39.551700592
Reus,Reus Airport,REU,Spain,1.1671700477600098,41.14739990234375
Santander,Santander Airport,SDR,Spain,-3.82000994682312,43.427101135253906
Santiago de Compostela,Santiago de Compostela Airport,SCQ,Spain,-8.415140151977539,42.89630126953125
Seville,Seville Airport,SVQ,Spain,-5.8931097984313965,37.417999267578125
Tenerife,Tenerife North Airport,TFN,Spain,-16.3414993286,28.4827003479
Tenerife,Tenerife South Airport,TFS,Spain,-16.5725002289,28.044500351
Valencia,Valencia Airport,VLC,Spain,-0.481625,39.4893
Valladolid,Valladolid Airport,VLL,Spain,-4.85194015503,41.7061004639
Zaragoza,Zaragoza Airport,ZAZ,Spain,-1.0415500402450562,41.66619873046875
Graz,Graz Airport,GRZ,Austria,15.439599990844727,46.9911003112793
Klagenfurt,Klagenfurt Airport,KLU,Austria,14.3377,46.642502
Innsbruck,Innsbruck Airport,INN,Austria,11.344,47.260201
Linz,Linz Airport,LNZ,Austria,14.1875,48.2332
Salzburg,Salzburg Airport,SZG,Austria,13.0043001175,47.793300628699996
Vienna,Vienna International Airport,VIE,Austria,16.569700241089,48.110298156738
Baden-Baden,Karlsruhe,FKB,Germany,8.08049964905,48.7793998718
Berlin,Berlin Tegel Airport,TXL,Germany,13.2877,52.5597
Berlin,Berlin Schönefeld Airport,SXF,Germany,13.5225,52.380001
Berlin,Berlin Brandenburg Airport,BER,Germany,,
Bremen,Bremen Airport,BRE,Germany,8.78666973114,53.0475006104
Cologne,Cologne,CGN,Germany,7.1427397728,50.8658981323
Dortmund,Dortmund Airport,DTM,Germany,7.61223983765,51.51829910279999
Düsseldorf,Düsseldorf Airport,DUS,Germany,6.76678,51.289501
Frankfurt,Frankfurt Airport,FRA,Germany,8.570556,50.033333
Frankfurt,Frankfurt-Hahn Airport,HHN,Germany,7.26389,49.9487
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,MLH,Germany,,
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,BSL,Germany,7.529167,47.59
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,EAP,Germany,,
Friedrichshafen,Friedrichshafen Airport,FDH,Germany,9.51148986816,47.671298980699994
Hamburg,Hamburg Airport,HAM,Germany,9.9882297515869,53.630401611328
Hanover,Langenhagen Airport,HAJ,Germany,9.685079574580001,52.461101532
Leipzig,Leipzig,LEJ,Germany,12.236389,51.423889
Lübeck,Lübeck Airport,LBC,Germany,10.7192001343,53.8054008484
Memmingen,Memmingen Airport,FMM,Germany,10.2395000458,47.988800048799995
Munich,Munich Airport,MUC,Germany,11.7861,48.353802
Nuremberg,Albrecht Dürer Airport,NUE,Germany,11.078056,49.498699
Stuttgart,Stuttgart Airport,STR,Germany,9.22196006775,48.689899444599995
Weeze,Weeze Airport,NRN,Germany,6.14216995239,51.6024017334
Athens,Athens International Airport,ATH,Greece,23.9444999695,37.9364013672
Chania,Chania International Airport,CHQ,Greece,24.149700164794922,35.531700134277344
Chios Island,Chios Island National Airport,JKH,Greece,26.140600204467773,38.34320068359375
Corfu,Ioannis Kapodistrias Airport,CFU,Greece,19.911699295043945,39.601898193359375
Heraklion,Heraklion International Airport,HER,Greece,25.180299758900002,35.3396987915
Kalamata,Kalamata International Airport,KLX,Greece,22.02549934387207,37.06829833984375
Karpathos Island,Karpathos Island National Airport,AOK,Greece,27.145999908447266,35.4213981628418
Kavala,Kavala International Airport,KVA,Greece,24.619199752807617,40.913299560546875
Kefalonia Island,Kefalonia Island International Airport,EFL,Greece,20.500499725341797,38.12009811401367
Kos Island,Kos Island International Airport,KGS,Greece,27.091699600219727,36.79330062866211
Mykonos Island,Mykonos Island National Airport,JMK,Greece,25.348100662231445,37.43510055541992
Mytilene,Mytilene International Airport,MJT,Greece,26.5983009338,39.0567016602
Preveza,Aktion National Airport,PVK,Greece,20.765300750732422,38.925498962402344
Rhodes,Rhodes International Airport,RHO,Greece,28.086200714111328,36.405399322509766
Samos,Samos International Airport,SMI,Greece,26.911699295043945,37.689998626708984
Santorini,Santorini National Airport,JTR,Greece,25.479299545288086,36.399200439453125
Skiathos Island,Skiathos Island National Airport,JSI,Greece,23.503700256347656,39.177101135253906
Skyros Island,Skyros Island National Airport,SKU,Greece,,
Thessaloniki,Thessaloniki International Airport,SKG,Greece,22.97089958190918,40.51969909667969
Volos,Nea Anchialos National Airport,VOL,Greece,22.794300079345703,39.219600677490234
Zakynthos,Zakynthos International Airport,ZTH,Greece,20.8843,37.7509
Alghero,Fertilia Airport,AHO,Italy,8.29077,40.632099
Ancona,Ancona Airport,AOI,Italy,13.3623,43.616299
Bari,Palese Airport,BRI,Italy,16.760599,41.138901
Bergamo,Orio al Serio Airport,BGY,Italy,9.70417,45.673901
Bologna,Bologna Airport,BLQ,Italy,11.2887,44.5354
Brescia,Brescia Airport,VBS,Italy,10.3306,45.428902
Brindisi,Brindisi Airport,BDS,Italy,17.947001,40.6576
Cagliari,Cagliari Airport,CAG,Italy,9.05428,39.251499
Catania,Fontanarossa Airport,CTA,Italy,15.0664,37.466801
Cuneo,Cuneo Levaldigi Airport,CUF,Italy,7.62322,44.547001
Florence,Peretola Airport,FLR,Italy,11.2051,43.810001
Genoa,Cristoforo Colombo Airport,GOA,Italy,8.8375,44.4133
Lamezia,Lamezia Terme Airport,SUF,Italy,16.2423,38.905399
Milan,Linate Airport,LIN,Italy,9.27674,45.445099
Milan,Malpensa Airport,MXP,Italy,8.72811,45.6306
Naples,Capodichino Airport,NAP,Italy,14.2908,40.886002
Olbia,Costa Smeralda Airport,OLB,Italy,9.51763,40.898701
Palermo,Palermo Airport,PMO,Italy,13.091,38.175999
Perugia,San Egidio Airport,PEG,Italy,12.5132,43.095901
Pescara,Abruzzo Airport,PSR,Italy,14.1811,42.431702
Pisa,Galileo Galilei Airport,PSA,Italy,10.3927,43.683899
Rimini,Federico Fellini Airport,RMI,Italy,12.6117,44.020302
Rome,Leonardo da Vinci-Fiumicino Airport,FCO,Italy,12.2388889,41.8002778
Rome,Rome Ciampino Airport,CIA,Italy,12.5949,41.7994
Trapani,Vincenzo Florio Airport,TPS,Italy,12.488,37.9114
Trieste,Friuli Venezia Giulia Airport,TRS,Italy,13.4722,45.827499
Turin,Caselle Airport,TRN,Italy,7.64963,45.200802
Venice,Venice Marco Polo Airport,VCE,Italy,12.3519,45.505299
Verona,Verona Airport,VRN,Italy,10.8885,45.395699
Basel-Mulhouse-Freiburg,EuroAirport Basel–Mulhouse–Freiburg,BSL,Switzerland,7.529167,47.59
Bern,Bern-Belp Airport,BRN,Switzerland,7.497149944309999,46.914100647
Geneva,Geneva International Airport,GVA,Switzerland,6.108950138092041,46.23809814453125
St. Gallen,St. Gallen-Altenrhein Airport,ACH,Switzerland,9.560770034789998,47.4850006104
Zurich,Zurich Airport,ZRH,Switzerland,8.54917,47.464699
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG,Poland,17.9776992798,53.096801757799994
Gdańsk,Gdańsk Lech Wałęsa Airport,GDN,Poland,18.46619987487793,54.377601623535156
Katowice,Katowice International Airport,KTW,Poland,19.08,50.4743
Kraków,John Paul II International Airport Kraków-Balice,KRK,Poland,19.7848,50.077702
Lublin,Lublin Airport,LUZ,Poland,22.713611,51.240278
Łódź,Łódź Władysław Reymont Airport,LCJ,Poland,19.3980998993,51.721900939899996
Poznań,Poznań Ławica Airport,POZ,Poland,16.8262996674,52.421001434299995
Rzeszów,Rzeszów-Jasionka Airport,RZE,Poland,22.018999,50.110001
Szczecin,"Szczecin-Goleniów ""Solidarność"" Airport",SZZ,Poland,14.902199745199999,53.584701538100006
Warsaw,Frédéric Chopin Airport,WAW,Poland,20.967100143399996,52.1656990051
Warsaw,Modlin Airport,WMI,Poland,20.6518,52.451099
Wrocław,Copernicus Airport Wrocław,WRO,Poland,16.885799408,51.1026992798
Bucharest,Henri Coanda International Airport,OTP,Romania,26.085,44.5711111
Cluj-Napoca,Cluj-Napoca International Airport,CLJ,Romania,23.686199,46.785198
Constanța,Mihail Kogălniceanu International Airport,CND,Romania,28.488300323486328,44.36220169067383
Iași,Iași International Airport,IAS,Romania,27.6205997467041,47.17850112915039
Oradea,Oradea International Airport,OMR,Romania,21.90250015258789,47.025299072265625
Sibiu,Sibiu International Airport,SBZ,Romania,24.091299057006836,45.78559875488281
Timișoara,Traian Vuia International Airport,TSR,Romania,21.337900161743164,45.809898376464844
Tirana,Tirana International Airport Nënë Tereza,TIA,Albania,19.7206001282,41.4146995544
Yerevan,Zvartnots International Airport,EVN,Armenia,44.3959007263,40.1473007202
Gyumri,Shirak Airport,LWN,Armenia,43.859298706100006,40.7504005432
Baku,Heydar Aliyev International Airport,GYD,Azerbaijan,50.04669952392578,40.467498779296875
Ganja,Ganja International Airport,KVD,Azerbaijan,46.3176,40.737701
Nakhchivan,Nakhchivan Airport,NAJ,Azerbaijan,45.45840072631836,39.18880081176758
Qabala,Qabala International Airport,GBB,Azerbaijan,47.7125,40.826667
Lankaran,Lankaran International Airport,LLK,Azerbaijan,,
Grodno,Hrodna Airport,GNA,Belarus,24.053800582885742,53.60200119018555
Gomel,Gomel Airport,GME,Belarus,31.016700744628906,52.527000427246094
Minsk,Minsk International Airport,MSQ,Belarus,28.030700683594,53.882499694824
